lon,lat
-3.273685266829884,55.871561338839065
-3.274075213240954,55.87121944643572
-3.275130790821783,55.870707121486376
-3.276662036220681,55.869934664751895
-3.277628145256491,55.86937652126344
-3.279107464370033,55.86848596343889
-3.283575291602628,55.8661023061288
-3.284028468089248,55.86588911394971
-3.284620424866789,55.86591079178968
-3.28482737912688,55.865935587922145
-3.285082903663984,55.86593112237938
-3.285477159339774,55.865869496548335
-3.28616332102985,55.86579223877473
-3.286440577996734,55.86572015151735
-3.286858945429904,55.865711283971166
-3.287001581418026,55.86567564699419
-3.287867565100501,55.865624353934265
-3.28859687367977,55.86569219709655
-3.28885153133863,55.865806342263255
-3.289194870870132,55.865896195311635
-3.289526742647754,55.86602570408196
-3.289998335398794,55.86617621113595
-3.290402970908612,55.866379534891905
-3.290712468823805,55.866556898629625
-3.290983786169551,55.866643009401166
-3.291070595746574,55.866706794638674
-3.291685056263436,55.86697260845298
-3.291750730145358,55.86697731036148
-3.292168065521837,55.86693698618325
-3.292661971592575,55.86694078402721
-3.292971068135794,55.866913275406226
-3.293169881626515,55.86688512797319
-3.293752689097749,55.86672714542296
-3.294118214852007,55.866666692528234
-3.295027358114604,55.86632735694456
-3.295171825310961,55.86629887966036
-3.295358333246262,55.86628523510163
-3.295541538813719,55.86622040727036
-3.295700064835099,55.86613427367431
-3.295846121981731,55.86600963322409
-3.29620236825189,55.86576686466739
-3.296485362463353,55.86543590972662
-3.296535901738725,55.86532215896331
-3.296582236324552,55.865274047176015
-3.296670251893961,55.86522998891959
-3.297851581388191,55.86442949904971
-3.300857295651877,55.862424524511084
-3.30148293889708,55.86206926751175
-3.302474473133437,55.861380362690305
-3.307811135402166,55.85781936613682
-3.308786932540301,55.857144054393686
-3.309803527214767,55.85649525712434
-3.309812897521242,55.856488867435466
-3.314293057610691,55.853431804088636
-3.314700796136418,55.85315967589758
-3.315700807107807,55.852546049693224
-3.319566755982487,55.84996171004571
-3.320084984787693,55.84960571109838
-3.321041812921183,55.848948475461405
-3.323518174517393,55.84732241778879
-3.32400166567145,55.846980254355685
-3.325938298519009,55.845692423164024
-3.327449446383542,55.844623011114756
