name,geometry,lat,lon,category
Caledonian Language School,POINT (-3.2137763 55.9471277),55.9471277,-3.2137763,school
BSC Edinburgh,POINT (-3.1994168 55.9529392),55.9529392,-3.1994168,school
Spark of Genius Musselburgh Learning Centre,POINT (-3.0674452 55.9430316),55.9430316,-3.0674452,school
Broomhouse Primary School,POINT (-3.2737099 55.9284829),55.9284829,-3.2737099,school
St Joseph's RC Primary School,POINT (-3.2737141 55.9283187),55.9283187,-3.2737141,school
Fox Covert Primary School,POINT (-3.2797797 55.952496),55.952496,-3.2797797,school
St Andrew's Fox Covert RC Primary School,POINT (-3.2797668 55.9523307),55.9523307,-3.2797668,school
Howdenhall & St Katharine's Special School,POINT (-3.1653365 55.9037635),55.9037635,-3.1653365,school
Edinburgh Montessori Arts School,POINT (-3.1693957 55.9173669),55.9173669,-3.1693957,school
Dalkeith High School,POINT (-3.0453157 55.9016163),55.9016163,-3.0453157,school
Saltersgate School,POINT (-3.0457663 55.9013877),55.9013877,-3.0457663,school
St David's RC High School,POINT (-3.0448758 55.900684),55.900684,-3.0448758,school
Orcadia Creative Learning Centre,POINT (-3.1132882 55.9518817),55.9518817,-3.1132882,school
Tiler Training School,POINT (-3.1470357 55.9339879),55.9339879,-3.1470357,school
St Francis' RC Primary School,POINT (-3.1275795 55.9350492),55.9350492,-3.1275795,school
Niddrie Mill Primary School,POINT (-3.1278129 55.9346225),55.9346225,-3.1278129,school
Mannafields Christian School,POINT (-3.152655 55.9555238),55.9555238,-3.152655,school
Fort Primary,POINT (-3.1861957347120877 55.97648064452472),55.97648064,-3.186195735,school
Cramond Primary School,POINT (-3.304438657594803 55.97141010853901),55.97141011,-3.304438658,school
Broughton Primary School,POINT (-3.1892934864513935 55.965714747628674),55.96571475,-3.189293486,school
St Crispin's School,POINT (-3.1533436373294803 55.898090513356394),55.89809051,-3.153343637,school
Loretto Senior School,POINT (-3.0442159581604145 55.943131611433195),55.94313161,-3.044215958,school
Wardie Primary School,POINT (-3.2134304789181654 55.97530207823471),55.97530208,-3.213430479,school
Currie Community High School,POINT (-3.321238960816955 55.89629569479934),55.89629569,-3.321238961,school
EDETA Training Services,POINT (-3.1045249796631564 55.936283947102964),55.93628395,-3.10452498,school
,POINT (-3.2901870417905643 55.931961855616755),55.93196186,-3.290187042,school
Craigour Park Primary School,POINT (-3.1350864241212775 55.91279733873196),55.91279734,-3.135086424,school
Liberton Primary School,POINT (-3.1617460133259203 55.92278609770206),55.9227861,-3.161746013,school
James Gillespie's High School,POINT (-3.2001371228401543 55.936629818296446),55.93662982,-3.200137123,school
George Watson's College,POINT (-3.2184523657996573 55.92954816287708),55.92954816,-3.218452366,school
South Morningside Primary School,POINT (-3.212312889200762 55.921447845658115),55.92144785,-3.212312889,school
Fettes College,POINT (-3.2273969120067947 55.964720631537546),55.96472063,-3.227396912,school
Murrayburn Primary School,POINT (-3.2815255230405427 55.92244893401498),55.92244893,-3.281525523,school
The Flora Stevenson Primary School,POINT (-3.2248340625724596 55.95800006290149),55.95800006,-3.224834063,school
Firrhill High School,POINT (-3.236387153289031 55.915209012764024),55.91520901,-3.236387153,school
,POINT (-3.25068034944452 55.97346234377335),55.97346234,-3.250680349,school
Craigroyston Community High School,POINT (-3.2549694696085876 55.97340853315965),55.97340853,-3.25496947,school
George Heriot's School,POINT (-3.194495973581843 55.94601850529419),55.94601851,-3.194495974,school
Castlebrae Community High School,POINT (-3.1359392492632403 55.93401845797866),55.93401846,-3.135939249,school
Hermitage Park Primary School,POINT (-3.1616019554240946 55.96550097248257),55.96550097,-3.161601955,school
Leith Academy,POINT (-3.1656822096279016 55.96581271878211),55.96581272,-3.16568221,school
Lorne Primary School,POINT (-3.1745939066218622 55.9660732479301),55.96607325,-3.174593907,school
Drummond Community High School,POINT (-3.19014090077732 55.96051884415331),55.96051884,-3.190140901,school
Stewart's Melville College,POINT (-3.2271918592607007 55.953951031567875),55.95395103,-3.227191859,school
Craigentinny Primary School,POINT (-3.144027159176152 55.95989658183913),55.95989658,-3.144027159,school
St Ninian's RC Primary School,POINT (-3.1501312385190254 55.96047022310154),55.96047022,-3.150131239,school
Bruntsfield Primary School,POINT (-3.2104686773700544 55.93731601061623),55.93731601,-3.210468677,school
Currie Primary School,POINT (-3.3124645116709384 55.89765540208553),55.8976554,-3.312464512,school
Tynecastle High School,POINT (-3.229695520042736 55.94003635266298),55.94003635,-3.22969552,school
James Gillespie's Primary School,POINT (-3.2015967853166374 55.93697284637834),55.93697285,-3.201596785,school
St Peter's RC Primary School,POINT (-3.204512686729157 55.92929158535858),55.92929159,-3.204512687,school
Castleview Primary School,POINT (-3.1363946412562673 55.93011752149636),55.93011752,-3.136394641,school
Gracemount High School,POINT (-3.152014206865897 55.90443404322884),55.90443404,-3.152014207,school
Buckstone Primary School,POINT (-3.1957864970329304 55.90568831669771),55.90568832,-3.195786497,school
Liberton High School,POINT (-3.1529298687275484 55.91467425739395),55.91467426,-3.152929869,school
,POINT (-3.280517419706985 55.95233346392666),55.95233346,-3.28051742,school
Leith Primary School,POINT (-3.1685309544888294 55.97039797788027),55.97039798,-3.168530954,school
Prestonfield Primary School,POINT (-3.1588536953109627 55.930961261939764),55.93096126,-3.158853695,school
,POINT (-3.128128791046964 55.93509770054995),55.9350977,-3.128128791,school
Holy Rood RC High School,POINT (-3.1431865773747174 55.9411503126841),55.94115031,-3.143186577,school
Portobello High School,POINT (-3.1123026716724023 55.944656082922485),55.94465608,-3.112302672,school
Brunstane Primary School,POINT (-3.103658591856961 55.94181512000573),55.94181512,-3.103658592,school
The Royal High Primary School,POINT (-3.1403258163712495 55.953844513438334),55.95384451,-3.140325816,school
Parsons Green Primary School,POINT (-3.1437945144169603 55.94827664038328),55.94827664,-3.143794514,school
Danderhall Primary School,POINT (-3.1099578798821526 55.915708397257205),55.9157084,-3.10995788,school
Frogston Primary School,POINT (-3.1632667582161185 55.89880790757014),55.89880791,-3.163266758,school
Merchiston Castle School,POINT (-3.2520832095120618 55.91205909956891),55.9120591,-3.25208321,school
Gilmerton Primary School,POINT (-3.138053064227033 55.9074496092762),55.90744961,-3.138053064,school
Towerbank Primary School,POINT (-3.1128920200487533 55.954759300957576),55.9547593,-3.11289202,school
The Mary Erskine School,POINT (-3.251324576768277 55.95226678446852),55.95226678,-3.251324577,school
Stoneyhill Primary School,POINT (-3.071220323882221 55.93669415994409),55.93669416,-3.071220324,school
Craigmount High School,POINT (-3.305946297019421 55.944874930293864),55.94487493,-3.305946297,school
Colinton Primary School,POINT (-3.2367220239613115 55.90826680257433),55.9082668,-3.236722024,school
St Mark's RC Primary School,POINT (-3.2295327050455978 55.91130701290447),55.91130701,-3.229532705,school
Bilston Primary School,POINT (-3.184162493788364 55.86914414351637),55.86914414,-3.184162494,school
Canal View Primary School,POINT (-3.28052646846718 55.91590522521951),55.91590523,-3.280526468,school
Nether Currie Primary School,POINT (-3.302666030296573 55.900203105466666),55.90020311,-3.30266603,school
Sighthill Primary School,POINT (-3.2931938812283756 55.91981410720784),55.91981411,-3.293193881,school
Wester Hailes High School,POINT (-3.2904625318632226 55.917321343639195),55.91732134,-3.290462532,school
Royal Blind School,POINT (-3.2025408682260657 55.929059709940134),55.92905971,-3.202540868,school
Duddingston Primary School,POINT (-3.1308090116933744 55.947961022349986),55.94796102,-3.130809012,school
East Craigs Primary School,POINT (-3.301556680792216 55.95143691672213),55.95143692,-3.301556681,school
Royal Mile Primary School,POINT (-3.177277892236827 55.951718490146405),55.95171849,-3.177277892,school
Panmure St Anne's,POINT (-3.185107077628694 55.94913413433188),55.94913413,-3.185107078,school
Trinity Academy,POINT (-3.195046258011767 55.976627728721816),55.97662773,-3.195046258,school
Sciennes Primary School,POINT (-3.187666428074663 55.93837778908843),55.93837779,-3.187666428,school
Broughton High School,POINT (-3.221957866648866 55.960932686834404),55.96093269,-3.221957867,school
The Royal High School,POINT (-3.2849652494790313 55.96369494111103),55.96369494,-3.284965249,school
Dunedin School,POINT (-3.1664022907315568 55.92545629037371),55.92545629,-3.166402291,school
The Edinburgh Academy,POINT (-3.2054679150691316 55.960788993602655),55.96078899,-3.205467915,school
Stockbridge Primary School,POINT (-3.2076402994056528 55.95944639732838),55.9594464,-3.207640299,school
Rowanfield Special School,POINT (-3.2455346529145963 55.96215765203318),55.96215765,-3.245534653,school
St Mary's RC Primary School (Leith),POINT (-3.159862063223514 55.971607186495106),55.97160719,-3.159862063,school
Tollcross Primary School,POINT (-3.2064752178361986 55.94339683406675),55.94339683,-3.206475218,school
Prospect Bank School,POINT (-3.156771179232191 55.967680894166286),55.96768089,-3.156771179,school
Abbeyhill Primary School,POINT (-3.169838249806311 55.95613412878952),55.95613413,-3.16983825,school
St Mary's RC Primary School,POINT (-3.187549931414832 55.95951464702647),55.95951465,-3.187549931,school
Leith Walk Primary School,POINT (-3.179226225500243 55.96019702267894),55.96019702,-3.179226226,school
"St. George's School, Edinburgh",POINT (-3.232223558005124 55.95056387301484),55.95056387,-3.232223558,school
Gorgie Mills Special School,POINT (-3.2394173898810283 55.93540736152278),55.93540736,-3.23941739,school
Balgreen Primary School,POINT (-3.2483129769375347 55.93762367330524),55.93762367,-3.248312977,school
Preston Street Primary School,POINT (-3.176298934880774 55.939876857438826),55.93987686,-3.176298935,school
Davidson's Mains Primary School,POINT (-3.269054737546291 55.963822752103376),55.96382275,-3.269054738,school
Dalry Primary School,POINT (-3.2230709697603146 55.942144572747246),55.94214457,-3.22307097,school
