lat,lon,type,name
55.933738,-3.211428,bus,
55.927264,-3.223709,bus,
55.922671,-3.223789,bus,
55.92565,-3.224267,bus,
55.924609,-3.222329,bus,
55.924719,-3.219324,bus,
55.925021,-3.216085,bus,
55.925622,-3.211638,bus,
55.935433,-3.230802,bus,
55.936563,-3.228261,bus,
55.938045,-3.226531,bus,
55.93786,-3.225292,bus,
55.939156,-3.225061,bus,
55.93977,-3.225689,bus,
55.941529,-3.223183,bus,
55.943511,-3.219915,bus,
55.94555,-3.217321,bus,
55.961084,-3.403387,bus,
55.957729,-3.402898,bus,
55.959809,-3.408003,bus,
55.959584,-3.412768,bus,
55.956587,-3.412371,bus,
55.956532,-3.405417,bus,
55.956245,-3.403004,bus,
55.957851,-3.403206,bus,
55.955063,-3.401071,bus,
55.954092,-3.401853,bus,
55.952769,-3.404416,bus,
55.946253,-3.412363,bus,
55.94005,-3.407974,bus,
55.9389,-3.407884,bus,
55.937691,-3.404382,bus,
55.937741,-3.407906,bus,
55.940377,-3.406849,bus,
55.939121,-3.397998,bus,
55.937685,-3.391527,bus,
55.938943,-3.390675,bus,
55.938376,-3.373957,bus,
55.937777,-3.366443,bus,
55.937237,-3.360004,bus,
55.943035,-3.360624,bus,
55.943014,-3.369814,bus,
55.938883,-3.355803,bus,
55.936936,-3.350645,bus,
55.938285,-3.329847,bus,
55.939152,-3.326146,bus,
55.922965,-3.378052,bus,
55.920701,-3.389206,bus,
55.920803,-3.384937,bus,
55.921488,-3.381568,bus,
55.921204,-3.379622,bus,
55.928777,-3.386197,bus,
55.933841,-3.390556,bus,
55.952179,-3.303546,bus,
55.952138,-3.304089,bus,
55.951891,-3.307028,bus,
55.950371,-3.307985,bus,
55.949311,-3.312241,bus,
55.947008,-3.314133,bus,
55.94192,-3.312632,bus,
55.940861,-3.311667,bus,
55.941245,-3.30598,bus,
55.941703,-3.300952,bus,
55.942327,-3.296282,bus,
55.949938,-3.279049,bus,
55.953673,-3.278499,bus,
55.93706,-3.39192,bus,
55.956119,-3.281735,bus,
55.955515,-3.287145,bus,
55.954512,-3.29371,bus,
55.953796,-3.296842,bus,
55.952583,-3.296817,bus,
55.949696,-3.295391,bus,
55.948713,-3.294846,bus,
55.94529,-3.293931,bus,
55.942922,-3.291803,bus,
55.943206,-3.287025,bus,
55.942944,-3.28367,bus,
55.942523,-3.279285,bus,
55.941891,-3.27342,bus,
55.942341,-3.267318,bus,
55.94238,-3.266968,bus,
55.942542,-3.265276,bus,
55.944006,-3.257382,bus,
55.944483,-3.254707,bus,
55.937643,-3.249523,bus,
55.93882,-3.251322,bus,
55.939456,-3.251519,bus,
55.941871,-3.251789,bus,
55.943238,-3.251673,bus,
55.944996,-3.250192,bus,
55.945368,-3.24452,bus,
55.945958,-3.235908,bus,
55.945804,-3.22881,bus,
55.946034,-3.222828,bus,
55.945972,-3.218247,bus,
55.946757,-3.216094,bus,
55.946922,-3.215714,bus,
55.949358,-3.210186,bus,
55.949579,-3.20968,bus,
55.949863,-3.209049,bus,
55.947067,-3.212933,bus,
55.946698,-3.211112,bus,
55.945745,-3.208472,bus,
55.939895,-3.221226,bus,
55.94077,-3.217219,bus,
55.941508,-3.218955,bus,
55.942365,-3.213122,bus,
55.943854,-3.214305,bus,
55.943001,-3.21058,bus,
55.943602,-3.207925,bus,
55.945257,-3.206872,bus,
55.945904,-3.204074,bus,
55.946418,-3.200246,bus,
55.947456,-3.196035,bus,
55.947704,-3.19276,bus,
55.982337,-3.381718,bus,
55.982444,-3.381802,bus,
55.982649,-3.385159,bus,
55.982428,-3.387251,bus,
55.981981,-3.390986,bus,
55.982564,-3.394276,bus,
55.984052,-3.409637,bus,
55.984634,-3.412928,bus,
55.986716,-3.4194,bus,
55.988552,-3.414482,bus,
55.989613,-3.409743,bus,
55.989983,-3.405637,bus,
55.977769,-3.397181,bus,
55.984687,-3.396468,bus,
55.986785,-3.396913,bus,
55.989149,-3.397559,bus,
55.990955,-3.399211,bus,
55.987174,-3.395821,bus,
55.98756,-3.390352,bus,
55.987334,-3.387283,bus,
55.986895,-3.382314,bus,
55.986435,-3.376094,bus,
55.982458,-3.373308,bus,
55.984399,-3.361179,bus,
55.980304,-3.347877,bus,
55.971723,-3.327998,bus,
55.967997,-3.322647,bus,
55.965611,-3.318112,bus,
55.962218,-3.313543,bus,
55.961124,-3.309101,bus,
55.952977,-3.311356,bus,
55.958416,-3.307728,bus,
55.958061,-3.308181,bus,
55.960808,-3.305021,bus,
55.960382,-3.299401,bus,
55.9607,-3.294814,bus,
55.961244,-3.290074,bus,
55.961993,-3.28374,bus,
55.95887,-3.279872,bus,
55.96152,-3.282571,bus,
55.962731,-3.275851,bus,
55.962449,-3.270058,bus,
55.962124,-3.266764,bus,
55.963964,-3.273889,bus,
55.961638,-3.306363,bus,
55.963291,-3.307316,bus,
55.966727,-3.307816,bus,
55.972264,-3.296546,bus,
55.969901,-3.307571,bus,
55.971831,-3.306114,bus,
55.97338,-3.304051,bus,
55.97532,-3.29902,bus,
55.974093,-3.296944,bus,
55.970331,-3.28118,bus,
55.968243,-3.278099,bus,
55.966337,-3.275537,bus,
55.965515,-3.272546,bus,
55.965618,-3.269505,bus,
55.971362,-3.271921,bus,
55.96918,-3.270038,bus,
